node_1|node_2|edge|chunk_id|example
risk occurrence|information communication|is related to|043f34c8a0d44489a1dfdaf85e6a9cd4|
information communication|regular intervals|occurs at|043f34c8a0d44489a1dfdaf85e6a9cd4|
information communication|honest manner|is adapted to|043f34c8a0d44489a1dfdaf85e6a9cd4|
information communication|stakeholder needs|is adapted to|043f34c8a0d44489a1dfdaf85e6a9cd4|
communications plan|information communication|supports|043f34c8a0d44489a1dfdaf85e6a9cd4|
monitor and control risks process|project management plan|includes|8f31964071bc4a869bd2cdf420b0b555|
monitor and control risks process|risk monitoring and control|is part of|8f31964071bc4a869bd2cdf420b0b555|
project management plan|actions required to monitor and control project risk|includes|8f31964071bc4a869bd2cdf420b0b555|
risk monitoring and control|project monitoring and control|is integrated with|8f31964071bc4a869bd2cdf420b0b555|
project execution|response related actions|includes|8f31964071bc4a869bd2cdf420b0b555|
project schedule|response related actions|includes|8f31964071bc4a869bd2cdf420b0b555|
chapter 9 monitor and control risks|monitor and control risks process|discusses|8f31964071bc4a869bd2cdf420b0b555|
contingency reserves|time related risks|covers|97291aa5634b4a3cb0379fedd138603f|
contingency reserves|cost related risks|covers|97291aa5634b4a3cb0379fedd138603f|
project manager|contingency reserves|assesses whether they provide the required level of confidence in the success of the project|97291aa5634b4a3cb0379fedd138603f|
techniques (for managing time buffers)|project's scheduling techniques|should be closely integrated into|97291aa5634b4a3cb0379fedd138603f|
tools (for managing time buffers)|project's scheduling techniques|are required to support|97291aa5634b4a3cb0379fedd138603f|
techniques (for managing cost)|financial practices|should be compatible with|97291aa5634b4a3cb0379fedd138603f|
tools|trends and forecast future outcomes|are required to determine whether the reserves will remain sufficient|97291aa5634b4a3cb0379fedd138603f|
tools|progress and spending|are required for tracking in a consolidated manner|97291aa5634b4a3cb0379fedd138603f|
chapter 9 (monitor and control risks)|contingency reserves|is related to|97291aa5634b4a3cb0379fedd138603f|
plan risk responses process|trigger conditions|is defined during|c72d4e757c49457e935ef93caabbf92b|
trigger conditions|metrics|are defined with|c72d4e757c49457e935ef93caabbf92b|
tools|trigger conditions and the corresponding metrics|are required to evaluate and track|c72d4e757c49457e935ef93caabbf92b|
tools|project baseline or specified thresholds based on actual status|are based on|c72d4e757c49457e935ef93caabbf92b|
tools|risks related to the deliverables such as performance|provide information on|c72d4e757c49457e935ef93caabbf92b|
tools|project related features such as time and cost|provide information on|c72d4e757c49457e935ef93caabbf92b|
tracking overall risk tools|project progression|is related to|c25e0898a6ed4dbb829325eaa5a60a3e|
tracking overall risk tools|expected effect on project's overall level of risk|is used to determine|c25e0898a6ed4dbb829325eaa5a60a3e|
quality metrics|degree of variation from baseline|is a type of|d974282181094b348553aa37a7cf64d6|
quality metrics|risk management plan|have been defined in|d974282181094b348553aa37a7cf64d6|
tracking compliance|quality metrics|should be tracked and recorded|d974282181094b348553aa37a7cf64d6|
risk monitoring and controlling|project management monitoring and control capabilities|includes|c5a07d52cd9647b6a53d89bb49278107|
risk monitoring and controlling|tools for risk tracking|supports|c5a07d52cd9647b6a53d89bb49278107|
risk monitoring and controlling|individual risks tracking|tracks|c5a07d52cd9647b6a53d89bb49278107|
tools for risk tracking|key success factors|supports|c5a07d52cd9647b6a53d89bb49278107|
monitor and control risks process|record actual data for future use|results in|2418ef618cc74a42a9e21997edf9aebd|
record actual data for future use|relevant information relating to risk management|includes|2418ef618cc74a42a9e21997edf9aebd|
relevant information relating to risk management|project lifecycle|covers|2418ef618cc74a42a9e21997edf9aebd|
risk management plan|definition of what information must be included|specifies|2418ef618cc74a42a9e21997edf9aebd|
risk management plan|storage mechanism for the information|specifies|2418ef618cc74a42a9e21997edf9aebd|
lessons learned process|significant risk management information|uses|2418ef618cc74a42a9e21997edf9aebd|
identified risk or type of risk|occurrence|indicates|2418ef618cc74a42a9e21997edf9aebd|
identified risk or type of risk (occurrence)|when and how often|describes|2418ef618cc74a42a9e21997edf9aebd|
recorded data|impact|includes|2418ef618cc74a42a9e21997edf9aebd|
recorded data (impact)|effectiveness of detection|indicates|2418ef618cc74a42a9e21997edf9aebd|
recorded data (impact)|effectiveness of response|indicates|2418ef618cc74a42a9e21997edf9aebd|
recorded data (impact)|unplanned additional actions|includes|2418ef618cc74a42a9e21997edf9aebd|
recorded data (impact)|effectiveness of avoidance or exploitation actions|indicates|2418ef618cc74a42a9e21997edf9aebd|
relevant data|effectiveness of detection|affects|af7d0117640342e2bc19d10d40c4598a|
relevant data|effectiveness of response|affects|af7d0117640342e2bc19d10d40c4598a|
relevant data|unplanned additional actions|affects|af7d0117640342e2bc19d10d40c4598a|
relevant data|effectiveness of avoidance or exploitation actions|affects|af7d0117640342e2bc19d10d40c4598a|
relevant data|effectiveness of transfer and sharing actions|affects|af7d0117640342e2bc19d10d40c4598a|
unexpected or undocumented risks|data about them|is related to|af7d0117640342e2bc19d10d40c4598a|
effectiveness of risk mitigation and enhancement actions|unexpected or undocumented risks|results from|af7d0117640342e2bc19d10d40c4598a|
occurrence of accepted threats or opportunities|relevant data|is part of|af7d0117640342e2bc19d10d40c4598a|
consolidated information|level of effort expended|includes|af7d0117640342e2bc19d10d40c4598a|
consolidated information|costs and benefits to the project of risk management activities|includes|af7d0117640342e2bc19d10d40c4598a|
archived and indexed data|consolidated information|is governed by|af7d0117640342e2bc19d10d40c4598a|
archived and indexed data|easy review during the project at closure and for future projects when the need arises|is intended for|af7d0117640342e2bc19d10d40c4598a|
